Reported_Date,City,daily_temp,daily_humidity,mavg_7_temp,mavg_7_humidity,mavg_15_temp,mavg_15_humidity
2020-02-29,Sao Paulo,20.47,85.96,20.224285714285713,83.50714285714285,22.21333333333333,80.34333333333333
2020-03-01,Sao Paulo,19.5,85.5,20.374285714285715,83.57857142857142,22.159333333333333,80.81266666666667
2020-03-02,Sao Paulo,19.61,85.81,20.490000000000002,84.47142857142856,21.902,81.646
2020-03-03,Sao Paulo,19.17,85.53,20.321428571428573,85.33428571428571,21.60666666666667,82.18733333333333
2020-03-04,Sao Paulo,19.61,79.08,19.787142857142857,85.83285714285715,21.242,82.764
2020-03-05,Sao Paulo,19.74,75.79,19.367142857142856,84.5185714285714,20.828,83.00266666666667
2020-03-06,Sao Paulo,19.97,69.75,19.524285714285718,82.86571428571428,20.458000000000002,82.96066666666667
2020-03-07,Sao Paulo,19.99,72.12,19.724285714285713,81.05999999999999,20.127333333333333,82.47200000000001
2020-03-08,Sao Paulo,20.08,83.69,19.655714285714286,79.08285714285715,19.97533333333333,81.606
2020-03-09,Sao Paulo,21.9,75.79,19.738571428571426,78.82428571428571,20.019333333333336,81.488
2020-03-10,Sao Paulo,22.66,72.5,20.065714285714282,77.39285714285714,20.233333333333334,81.25733333333332
2020-03-11,Sao Paulo,22.58,74.29,20.564285714285713,75.53142857142858,20.358,80.77266666666667
2020-03-12,Sao Paulo,22.61,71.46,20.988571428571426,74.84714285714287,20.336000000000002,80.256
2020-03-13,Sao Paulo,22.58,72.92,21.398571428571426,74.22857142857143,20.34,79.13466666666666
2020-03-14,Sao Paulo,23.65,70.92,21.77142857142857,74.68142857142857,20.602666666666668,78.17200000000001
2020-03-15,Sao Paulo,24.69,68.88,22.29428571428571,74.50999999999999,20.941333333333333,77.40733333333334
2020-03-16,Sao Paulo,25.03,65.33,22.95285714285714,72.39428571428572,21.222666666666665,76.26866666666666
2020-03-17,Sao Paulo,23.35,73.12,23.4,70.9,21.591333333333335,74.92399999999999
2020-03-18,Sao Paulo,23.56,73.72,23.49857142857143,70.98857142857142,21.840666666666664,74.078
2020-03-19,Sao Paulo,24.5,76.75,23.63857142857143,70.90714285714286,22.133333333333333,73.29066666666668
2020-03-20,Sao Paulo,23.37,77.12,23.90857142857143,71.66285714285713,22.459333333333333,73.13533333333334
2020-03-21,Sao Paulo,20.91,78.42,24.021428571428572,72.26285714285714,22.70133333333333,73.224
2020-03-22,Sao Paulo,20.75,72.71,23.630000000000003,73.33428571428571,22.764,73.80199999999999
2020-03-23,Sao Paulo,20.67,67.25,23.067142857142862,73.88142857142857,22.814666666666668,73.84133333333332
2020-03-24,Sao Paulo,20.03,71.58,22.444285714285716,74.1557142857143,22.853999999999996,72.74533333333333
2020-03-25,Sao Paulo,20.02,70.92,21.97,73.93571428571428,22.729333333333333,72.46466666666667
2020-03-26,Sao Paulo,19.68,68.67,21.46428571428572,73.53571428571429,22.55333333333333,72.35933333333334
2020-03-27,Sao Paulo,20.33,68.17,20.775714285714287,72.38142857142857,22.36,71.98466666666667
2020-03-28,Sao Paulo,21.92,72.96,20.34142857142857,71.10285714285713,22.207999999999995,71.76533333333333
2020-03-29,Sao Paulo,22.58,76.5,20.485714285714288,70.32285714285715,22.163999999999998,71.768
2020-03-30,Sao Paulo,22.1,75.54,20.747142857142855,70.86428571428571,22.092666666666666,72.14
2020-03-31,Sao Paulo,21.62,76.83,20.951428571428572,72.04857142857142,21.92,72.584
2020-04-01,Sao Paulo,21.62,75.96,21.178571428571427,72.79857142857144,21.692666666666664,73.35066666666667
2020-04-02,Sao Paulo,23.92,70.54,21.407142857142855,73.51857142857143,21.577333333333335,73.54
2020-04-03,Sao Paulo,23.45,66.5,22.012857142857143,73.78571428571429,21.601333333333336,73.328
2020-04-04,Sao Paulo,19.98,67.0,22.458571428571428,73.54714285714286,21.531333333333336,72.64466666666667
2020-04-05,Sao Paulo,20.33,70.92,22.181428571428572,72.69571428571429,21.305333333333337,71.97
2020-04-06,Sao Paulo,22.43,68.92,21.860000000000003,71.89857142857143,21.266666666666666,71.47
2020-04-07,Sao Paulo,21.2,78.75,21.907142857142855,70.95285714285714,21.378666666666668,71.21733333333333
2020-04-08,Sao Paulo,18.4,84.52,21.84714285714286,71.22714285714287,21.413999999999998,71.984
2020-04-09,Sao Paulo,17.76,69.58,21.387142857142855,72.45,21.305333333333333,72.84666666666666
2020-04-10,Sao Paulo,17.95,69.92,20.507142857142856,72.31285714285715,21.154666666666667,72.75733333333334
2020-04-11,Sao Paulo,18.25,73.04,19.72142857142857,72.80142857142857,21.039333333333335,72.84066666666666
2020-04-12,Sao Paulo,18.82,72.08,19.474285714285713,73.66428571428573,20.90066666666667,73.16533333333334
2020-04-13,Sao Paulo,18.96,72.67,19.25857142857143,73.83000000000001,20.694000000000003,73.10666666666667
2020-04-14,Sao Paulo,19.79,77.54,18.762857142857143,74.36571428571428,20.45266666666667,72.85133333333333
2020-04-15,Sao Paulo,20.71,69.62,18.56142857142857,74.19285714285715,20.29866666666667,72.98466666666667
2020-04-16,Sao Paulo,20.0,73.42,18.891428571428573,72.06428571428572,20.238,72.50399999999999
2020-04-17,Sao Paulo,18.13,78.38,19.21142857142857,72.61285714285714,20.13,72.33466666666666
2020-04-18,Sao Paulo,18.0,78.04,19.237142857142857,73.82142857142857,19.743999999999996,72.85733333333333
2020-04-19,Sao Paulo,18.87,73.96,19.201428571428572,74.53571428571429,19.380666666666666,73.62666666666668
2020-04-20,Sao Paulo,19.18,73.88,19.208571428571428,74.80428571428571,19.306666666666665,74.09066666666666
2020-04-21,Sao Paulo,19.17,74.29,19.240000000000002,74.97714285714287,19.23,74.288
2020-04-22,Sao Paulo,18.86,76.0,19.15142857142857,74.51285714285714,19.012666666666668,74.646
2020-04-23,Sao Paulo,19.26,75.96,18.887142857142855,75.42428571428572,18.85666666666667,74.46266666666666
2020-04-24,Sao Paulo,20.31,74.08,18.78142857142857,75.78714285714285,18.914,73.89200000000001
2020-04-25,Sao Paulo,21.17,67.29,19.092857142857145,75.17285714285715,19.084000000000003,74.192
2020-04-26,Sao Paulo,20.89,58.62,19.545714285714286,73.63714285714286,19.298666666666666,74.01666666666667
2020-04-27,Sao Paulo,19.53,73.33,19.834285714285716,71.44571428571427,19.474666666666668,73.05533333333334
2020-04-28,Sao Paulo,20.0,67.25,19.884285714285713,71.36714285714287,19.522,73.13866666666667
2020-04-29,Sao Paulo,20.1,65.21,20.002857142857145,70.36142857142856,19.591333333333335,72.77733333333332
2020-04-30,Sao Paulo,20.64,62.46,20.18,68.82000000000001,19.612000000000002,71.95533333333333
2020-05-01,Sao Paulo,20.29,70.24,20.377142857142854,66.89142857142856,19.607333333333333,71.47800000000001
2020-05-02,Sao Paulo,20.26,75.58,20.374285714285715,66.34285714285714,19.62666666666667,71.266
2020-05-03,Sao Paulo,17.45,70.08,20.244285714285716,67.52714285714286,19.768666666666668,71.07933333333334
2020-05-04,Sao Paulo,17.3,71.75,19.752857142857142,69.16428571428571,19.732000000000003,70.54866666666666
2020-05-05,Sao Paulo,19.02,65.83,19.434285714285714,68.93857142857142,19.627333333333336,70.40133333333333
2020-05-06,Sao Paulo,19.8,60.79,19.294285714285714,68.73571428571428,19.616666666666667,69.86466666666666
2020-05-07,Sao Paulo,14.6,85.21,19.25142857142857,68.10428571428571,19.658666666666665,68.96466666666667
2020-05-08,Sao Paulo,15.21,78.75,18.388571428571428,71.35428571428572,19.374666666666666,69.57866666666668
2020-05-09,Sao Paulo,16.8,70.12,17.662857142857145,72.57000000000001,19.104666666666667,69.76466666666667
2020-05-10,Sao Paulo,17.19,68.5,17.16857142857143,71.78999999999999,18.87066666666667,69.50066666666666
2020-05-11,Sao Paulo,18.03,59.25,17.13142857142857,71.5642857142857,18.605333333333338,69.58133333333333
2020-05-12,Sao Paulo,18.86,61.21,17.235714285714288,69.77857142857142,18.414666666666665,69.62333333333332
2020-05-13,Sao Paulo,19.18,61.42,17.212857142857143,69.11857142857143,18.37,68.81533333333333
2020-05-14,Sao Paulo,18.67,73.79,17.124285714285715,69.20857142857143,18.315333333333335,68.42666666666668
2020-05-15,Sao Paulo,15.8,85.33,17.705714285714286,67.57714285714285,18.220000000000002,68.99866666666667
2020-05-16,Sao Paulo,17.66,73.04,17.79,68.51714285714286,17.897333333333336,70.52333333333333
2020-05-17,Sao Paulo,16.73,74.72,17.912857142857142,68.9342857142857,17.722,70.71
