Comparativo Ciudades,,,,,,,,
,,,,,,,,
Fecha,País,Ciudad,Casos confirmados acumulad,Fallecidos,Población (millones),Año población,Casos millón hab,Fallecidos millón hab
14/06/2020,Brasil,Sao Paulo,91198,5623,12252023,2017,7444,459
14/06/2020,Estados Unidos,New York,383324,30825,8398748,2018,45641,3670
14/06/2020,España,Madrid,70521,8691,3266126,2020,21592,2661
15/06/2020,Colombia,Bogotá,16404,393,7743955,2020,2118,51
15/06/2020,Argentina,Buenos Aires,18926,384,3075646,2020,6154,125
15/06/2020,Brasil,Brasilia,23684,319,3015268,2019,7855,106
15/06/2020,Chile,Santiago de Chile,144280,2913,7460708,2020,19339,390
11/07/2020,Ecuador,Guayaquil,11237,2328,2723665,2020,4126,855
12/07/2020,Ecuador,Guayaquil,11237,2328,2723665,2020,4126,855
20/05/2020,Ecuador,Quito,2667,212,2011388,2020,1326,105
15/06/2020,México,Ciudad de México,37503,3831,8985339,2015,4174,426
15/06/2020,Perú,Lima,128362,5749,9485405,2017,13533,606
15/06/2020,Uruguay,Montevideo,570,15,1351162,2020,422,11
15/06/2020,Brasil,Sao Paulo,93448,5652,12252023,2017,7627,461
15/06/2020,Estados Unidos,New York,383944,30856,8398748,2018,45714,3674
15/06/2020,España,Madrid,70570,8691,3266126,2020,21607,2661
16/06/2020,Colombia,Bogotá,16839,413,7743955,2020,2174,53
16/06/2020,Argentina,Buenos Aires,19611,396,3075646,2020,6376,129
16/06/2020,Brasil,Brasilia,25380,348,3015268,2019,8417,115
16/06/2020,Chile,Santiago de Chile,148302,2934,7460708,2020,19878,393
21/05/2020,Ecuador,Quito,2864,231,2011388,2020,1424,115
22/05/2020,Ecuador,Quito,2999,232,2011388,2020,1491,115
16/06/2020,México,Ciudad de México,38117,3951,8985339,2015,4242,440
16/06/2020,Perú,Lima,129881,5820,9485405,2017,13693,614
16/06/2020,Uruguay,Montevideo,571,16,1351162,2020,423,12
16/06/2020,Brasil,Sao Paulo,97676,5819,12252023,2017,7972,475
16/06/2020,Estados Unidos,New York,384575,30909,8398748,2018,45790,3680
16/06/2020,España,Madrid,70675,8691,3266126,2020,21639,2661
17/06/2020,Colombia,Bogotá,17392,422,7743955,2020,2246,54
17/06/2020,Argentina,Buenos Aires,20318,422,3075646,2020,6606,137
17/06/2020,Brasil,Brasilia,27140,365,3015268,2019,9001,121
17/06/2020,Chile,Santiago de Chile,180532,3114,7460708,2020,24198,417
23/05/2020,Ecuador,Quito,2999,232,2011388,2020,1491,115
24/05/2020,Ecuador,Quito,3188,248,2011388,2020,1585,123
17/06/2020,México,Ciudad de México,38817,4132,8985339,2015,4320,460
17/06/2020,Perú,Lima,131303,5923,9485405,2017,13843,624
17/06/2020,Uruguay,Montevideo,571,16,1351162,2020,423,12
17/06/2020,Brasil,Sao Paulo,98132,5959,12252023,2017,8009,486
17/06/2020,Estados Unidos,New York,385142,30939,8398748,2018,45857,3684
17/06/2020,España,Madrid,70799,8691,3266126,2020,21677,2661
18/06/2020,Colombia,Bogotá,18179,437,7743955,2020,2348,56
18/06/2020,Argentina,Buenos Aires,21277,439,3075646,2020,6918,143
18/06/2020,Brasil,Brasilia,28521,379,3015268,2019,9459,126
18/06/2020,Chile,Santiago de Chile,183553,3319,7460708,2020,24603,445
25/05/2020,Ecuador,Quito,3309,251,2011388,2020,1645,125
