date,city_name,lat,lon,temp_mean,humidity_mean,temp_min,temp_max
2020-09-06,New York,40.712775,-74.005973,22.875833333333336,60.666666666666664,17.0,20.56
2020-09-07,New York,40.712775,-74.005973,23.002499999999998,66.79166666666667,18.0,22.0
2020-09-08,New York,40.712775,-74.005973,23.527083333333337,72.04166666666667,18.0,22.0
2020-09-09,New York,40.712775,-74.005973,23.21416666666666,82.45833333333333,19.0,22.22
2020-09-10,New York,40.712775,-74.005973,24.530666666666665,87.36666666666666,22.78,23.33
2020-09-11,New York,40.712775,-74.005973,23.290416666666662,77.70833333333333,20.56,23.0
2020-09-12,New York,40.712775,-74.005973,19.247916666666672,64.58333333333333,15.0,18.0
2020-09-13,New York,40.712775,-74.005973,20.132499999999997,73.625,15.56,18.89
2020-09-14,New York,40.712775,-74.005973,22.386666666666667,64.58333333333333,19.44,22.0
2020-09-15,New York,40.712775,-74.005973,15.961666666666666,51.625,10.56,13.4
2020-09-16,New York,40.712775,-74.005973,17.617083333333333,64.91666666666667,12.0,16.0
2020-09-17,New York,40.712775,-74.005973,20.324583333333333,74.33333333333333,15.0,19.0
2020-09-18,New York,40.712775,-74.005973,19.519166666666663,68.08333333333333,15.56,18.0
2020-09-19,New York,40.712775,-74.005973,14.237083333333333,37.375,8.33,11.11
2020-09-20,New York,40.712775,-74.005973,13.657916666666667,37.875,8.0,12.22
2020-09-21,New York,40.712775,-74.005973,13.885416666666666,44.625,7.0,12.18
2020-09-22,New York,40.712775,-74.005973,15.59375,45.833333333333336,8.0,12.78
2020-09-23,New York,40.712775,-74.005973,19.839583333333334,48.083333333333336,13.0,16.67
2020-09-24,New York,40.712775,-74.005973,20.700833333333335,60.166666666666664,14.0,19.0
2020-09-25,New York,40.712775,-74.005973,20.435833333333335,72.79166666666667,14.0,18.0
2020-09-26,New York,40.712775,-74.005973,20.3175,77.54166666666667,16.11,19.0
2020-09-27,New York,40.712775,-74.005973,21.77416666666667,82.0,18.33,20.56
2020-09-28,New York,40.712775,-74.005973,22.361153846153847,85.42307692307692,20.0,21.11
2020-09-29,New York,40.712775,-74.005973,21.27625,85.08333333333333,18.33,20.56
2020-09-30,New York,40.712775,-74.005973,19.80038461538462,77.6923076923077,15.0,17.0
2020-10-01,New York,40.712775,-74.005973,18.525,62.583333333333336,14.0,17.0
2020-10-02,New York,40.712775,-74.005973,16.419583333333332,63.0,12.22,14.7
2020-10-03,New York,40.712775,-74.005973,15.426666666666668,54.25,10.0,13.0
2020-10-04,New York,40.712775,-74.005973,15.29291666666667,59.541666666666664,8.0,14.0
2020-10-05,New York,40.712775,-74.005973,16.242083333333333,63.916666666666664,10.56,13.89
2020-10-06,New York,40.712775,-74.005973,17.064166666666665,68.70833333333333,12.0,15.0
2020-10-07,New York,40.712775,-74.005973,18.633333333333333,65.33333333333333,13.89,17.0
2020-10-08,New York,40.712775,-74.005973,15.993749999999999,48.833333333333336,11.0,14.0
2020-10-09,New York,40.712775,-74.005973,15.157083333333333,51.291666666666664,9.0,13.0
2020-10-10,New York,40.712775,-74.005973,17.85625,66.45833333333333,12.78,16.2
2020-10-11,New York,40.712775,-74.005973,18.481666666666666,73.125,16.0,18.33
2020-10-12,New York,40.712775,-74.005973,12.35935483870968,84.74193548387096,8.89,12.0
2020-10-13,New York,40.712775,-74.005973,13.419999999999998,90.94444444444444,11.0,14.78
2020-10-14,New York,40.712775,-74.005973,15.27166666666667,63.666666666666664,8.89,13.0
2020-10-15,New York,40.712775,-74.005973,17.582083333333333,64.29166666666667,11.0,15.56
2020-10-16,New York,40.712775,-74.005973,14.803214285714288,87.85714285714286,10.0,12.53
2020-10-17,New York,40.712775,-74.005973,11.273749999999998,65.375,6.11,9.0
2020-10-18,New York,40.712775,-74.005973,12.618333333333332,59.833333333333336,3.0,11.43
2020-10-19,New York,40.712775,-74.005973,14.874166666666667,71.58333333333333,10.0,13.09
2020-10-20,New York,40.712775,-74.005973,17.0052,84.52,12.78,16.11
2020-10-21,New York,40.712775,-74.005973,17.7044,91.64,15.46,16.85
2020-10-22,New York,40.712775,-74.005973,18.533333333333335,92.125,16.11,18.33
2020-10-23,New York,40.712775,-74.005973,18.052,90.04,16.11,18.0
2020-10-24,New York,40.712775,-74.005973,17.712083333333336,83.04166666666667,13.89,17.22
2020-10-25,New York,40.712775,-74.005973,9.809166666666666,58.208333333333336,5.56,8.33
2020-10-26,New York,40.712775,-74.005973,12.067058823529411,89.41176470588235,8.0,12.0
